country,x,y,technology,capacity,unit,quality,company,location,start year,Latest renovation year,Source,Comments
BR,-46.977891,-19.62916,Industry Mining ,0,Kt/yr,actual,Mosaic Fertilizantes,Araxa,,,Radiological_implications_of_using_phosphogypsum_a.pdf,
BR,-48.279622,-17.302203,Industry Mining ,0,Kt/yr,actual,Mosaic Fertilizantes,Patos de minas,,,Radiological_implications_of_using_phosphogypsum_a.pdf,
BR,-47.804532,-18.067537,Industry Mining ,0,Kt/yr,actual,Mosaic Fertilizantes,Catalao,,,Radiological_implications_of_using_phosphogypsum_a.pdf,
BR,-47.8241,-18.145891,Industry Mining ,0,Kt/yr,actual,CMOC,Ouvidor,,,Radiological_implications_of_using_phosphogypsum_a.pdf,
BR,-47.699479,-24.413247,Industry Mining ,0,Kt/yr,actual,Socal,Registro,,,Radiological_implications_of_using_phosphogypsum_a.pdf,
BR,-46.740618,-12.924947,Industry Mining ,0,Kt/yr,actual,Itafos e GB minerals,Arraias,,,Radiological_implications_of_using_phosphogypsum_a.pdf,
BR,-48.350519,-0.929593,Industry Mining ,0,Kt/yr,actual,B&A FosFato Mineracao,Santa Maria do Para,,,Radiological_implications_of_using_phosphogypsum_a.pdf,
BR,-47.257267,-0.904543,Industry Mining ,0,Kt/yr,actual,B&A FosFato Mineracao,Bonito,,,Radiological_implications_of_using_phosphogypsum_a.pdf,
BR,-43.130165,-19.832129,Industry Steel Primary Blast Furnace Route,1200,Kt/yr,actual,ArcelorMittal Monlevade steel BF and EAF expansion,João Monlevade- MG,Proposed,,,Production capacity of Iron 1.200 Kt/yr
BR,-43.462362,-21.626963,Industry Steel Secondary EAF,200,Kt/yr,actual,ArcelorMittal Juiz de Fora steel plant EAF expansion,Juiz de Fora- MG,Proposed,,Tracker Map - Global Energy Monitor,
BR,-40.360865,-20.34291,Industry Steel Secondary EAF,200,Kt/yr,actual,Simec Cariacica steel plant EAF expansion,Cariacica,Proposed,,Tracker Map - Global Energy Monitor,
BR,-38.311847,-12.717569,Industry Chemical Ammonia Renewable,60,Kt/yr,actual,Unigel,Camaçari,Proposed,,Brazil’s first electrolysis-based ammonia plant takes shape – Ammonia Energy Association,
BR,-44.295265,-2.539779,Industry Mining,0,Mt,actual,OCP,Sao Louis,Proposed,,Morocco’s OCP To Open Phosphate Fertilizer Plant in Brazil (moroccoworldnews.com),
